ret_mean,ret_std,n
7.461232600958212e-06,4.9047088085446204e-05,10
-1.3181453127808495e-05,7.415785716005103e-05,10
-1.6185700099646816e-06,7.955796384234576e-05,10
-2.583692975310914e-06,7.946454363614069e-05,10
-2.5740415891539747e-06,7.946489816649739e-05,10
-2.5740415891539747e-06,7.946489816649739e-05,10
-1.6473355123447498e-06,8.041696952237496e-05,10
-3.6258450244686103e-06,8.268334434033944e-05,10
-9.358604689646555e-06,7.836003704793077e-05,10
-1.351796603594746e-05,7.64410734992707e-05,10
-9.078916506777279e-06,7.57786912363334e-05,10
8.272699910161219e-06,4.9118589819494264e-05,10
-5.7130520503267944e-08,4.157447344945244e-05,10
-5.7130520503267944e-08,4.157447344945244e-05,10
-6.678190666020711e-08,4.1574445020951024e-05,10
-6.678190666020711e-08,4.1574445020951024e-05,10
-7.710678993155806e-06,3.18302667548824e-05,10
6.3410024165211356e-06,1.4557335380054115e-05,10
4.3913832775022145e-06,1.3889977550367812e-05,10
4.4010346692324734e-06,1.3886545772848153e-05,10
4.333474920614755e-06,1.3908310714066787e-05,10
4.333474920614755e-06,1.3908310714066787e-05,10
-1.9396517178527084e-06,2.5601654778362706e-05,10
-3.5900717207937305e-06,2.5991724117466058e-05,10
-3.5900717207937305e-06,2.5991724117466058e-05,10
-8.522109971020875e-06,2.965589729544016e-05,10
-3.589828458783195e-06,3.487339831626243e-05,10
-7.981211696250767e-06,3.074777643184107e-05,10
-6.35971966878035e-06,3.1630316852641245e-05,10
-9.544741649292198e-06,3.251011536696109e-05,10
-1.8607865583597504e-05,4.1061856145685656e-05,10
-1.0055516665519182e-05,5.264170709669006e-05,10
-3.840304972790865e-06,4.9212848150790996e-05,10
-1.1146894317082268e-05,5.6226229276343814e-05,10
-2.189082617809479e-06,6.4697029361455e-05,10
-6.21405371481476e-06,6.905990007040844e-05,10
-1.0094178464958859e-05,6.664050463336061e-05,10
-1.55152766401212e-06,7.322806990544803e-05,10
-3.173019691482537e-06,7.297002443962575e-05,10
-6.425807168608521e-06,7.508476197092258e-05,10
3.887283800120267e-05,0.0001329697987151372,10
3.268449733727641e-05,0.00013199389898139,10
3.2800320599868374e-05,0.00013196140688319594,10
4.176697873227164e-05,0.0001256164041901275,10
3.989137467482751e-05,0.00012496152468700013,10
5.9133259639709836e-05,0.00011739737960808868,10
6.618467423726848e-05,0.00011626535695924531,10
5.7642023436321746e-05,0.00011782241494424934,10
5.2365482532035214e-05,0.00012180488615054293,10
7.264650176986853e-05,0.00011699623672296243,10
2.256968683348459e-05,8.078170202115727e-05,10
2.273314963329165e-05,8.078576238582102e-05,10
2.3157599693124364e-05,8.066410953982815e-05,10
1.674264082872634e-05,8.512909251911512e-05,10
1.6066153572380505e-05,8.467727473488067e-05,10
3.119994069383791e-05,0.00011126145010702223,10
3.2412569859718855e-05,0.0001119290355578688,10
3.502587747784558e-05,0.00011139197287911274,10
3.768917905597746e-05,0.00010935956846569095,10
2.3845969275781975e-05,0.00010381106283655109,10
3.5912913892766074e-05,8.877953336800548e-05,10
3.515018003376058e-05,8.891374779830598e-05,10
2.893980849023592e-05,9.336951102035691e-05,10
4.655116821612459e-05,9.044369517521218e-05,10
4.969170092148367e-05,9.165623494123123e-05,10
3.595885065150739e-05,6.360907552060025e-05,10
1.7638299019129278e-05,7.122967432382245e-05,10
2.048208098472948e-05,7.216800079484172e-05,10
2.6643199079479097e-05,7.035337888858696e-05,10
2.6643199079479097e-05,7.035337888858696e-05,10
3.1570035114036886e-05,6.86029612419667e-05,10
3.1916529962761064e-05,6.853354351489977e-05,10
3.9553355531163346e-05,6.129027894898997e-05,10
2.649643605762142e-05,5.794400533298058e-05,10
-6.797684226622635e-09,7.949773234651712e-05,10
-1.9492794310982388e-05,7.110850955378363e-05,10
5.855615528027602e-06,8.6647165014557e-05,10
3.985259443006761e-07,8.493977753934105e-05,10
-2.6326164905843275e-05,0.00011078584364507535,10
-2.4918261825124245e-05,0.00011124608324714262,10
-2.808039181180222e-05,0.00010990476934484214,10
-3.019162385548002e-05,0.00010905428687951539,10
-4.604421759313304e-05,0.00011265104717889731,10
-4.419334776625261e-05,0.00011330388530783637,10
